primary_key,store_id,store_name,product_id,product_name,brand,size,price,category
new_world_5337881-EA-000,c8998066-d39b-401c-aa6b-d6d18f8d122f,New World Albany,5337881-EA-000,Zero Lacto Blue Milk,Anchor,1L,8.4,Milk
new_world_5255602-EA-000,c8998066-d39b-401c-aa6b-d6d18f8d122f,New World Albany,5255602-EA-000,Homogenised Jersey Milk,Lewis Road Creamery,1L,7.15,Milk
new_world_5227982-EA-000,c8998066-d39b-401c-aa6b-d6d18f8d122f,New World Albany,5227982-EA-000,Chocolate Supremo Flavoured Milk,Primo,1L,7.29,Milk
new_world_5008663-EA-000,c8998066-d39b-401c-aa6b-d6d18f8d122f,New World Albany,5008663-EA-000,Instant Whole Milk Powder,Eclipse Premium,100g,15.59,Milk
new_world_5335772-EA-000,c8998066-d39b-401c-aa6b-d6d18f8d122f,New World Albany,5335772-EA-000,High Fibre + Low Fat Oat Milk,Otis Oat Milk,1L,4.69,Dairy Free & Meat Free
new_world_5026067-EA-000,c8998066-d39b-401c-aa6b-d6d18f8d122f,New World Albany,5026067-EA-000,White Toast Bread,Nature's Fresh,100g,4.21,Sliced & Packaged Bread
new_world_5008057-EA-000,c8998066-d39b-401c-aa6b-d6d18f8d122f,New World Albany,5008057-EA-000,Superb Soy & Linseed Toast Bread,Burgen,100g,5.19,Sliced & Packaged Bread
new_world_5204608-EA-000,c8998066-d39b-401c-aa6b-d6d18f8d122f,New World Albany,5204608-EA-000,Good Seed Sprouted Bread,Home St.,100g,9.99,Sliced & Packaged Bread
new_world_5080489-EA-000,c8998066-d39b-401c-aa6b-d6d18f8d122f,New World Albany,5080489-EA-000,Pure Foodie Paleo Super Seeded Bread,Venerdi,100g,14.99,Sliced & Packaged Bread
new_world_5108736-EA-000,c8998066-d39b-401c-aa6b-d6d18f8d122f,New World Albany,5108736-EA-000,Pumpernickel Bread,Mestemacher,100g,7.49,Sliced & Packaged Bread
new_world_5045591-EA-000,c8998066-d39b-401c-aa6b-d6d18f8d122f,New World Albany,5045591-EA-000,Ciabatta Pizza,,1pk,5.19,Frozen Meals & Snacks
new_world_5127802-EA-000,c8998066-d39b-401c-aa6b-d6d18f8d122f,New World Albany,5127802-EA-000,Turkish Pockets,,ea,5.19,"Wraps, Pita & Flat Bread"
new_world_5102364-EA-000,c8998066-d39b-401c-aa6b-d6d18f8d122f,New World Albany,5102364-EA-000,Plain Hamburger Buns,,ea,4.39,"Wraps, Pita & Flat Bread"
new_world_5025358-EA-000,c8998066-d39b-401c-aa6b-d6d18f8d122f,New World Albany,5025358-EA-000,Honey & Olive Oil Pizza Bases,Romano's,100g,3.99,Frozen Meals & Snacks
new_world_5027047-EA-000,c8998066-d39b-401c-aa6b-d6d18f8d122f,New World Albany,5027047-EA-000,Buttery Spread,Meadowlea,100g,4.19,Butter & Margarine
new_world_5002842-EA-000,c8998066-d39b-401c-aa6b-d6d18f8d122f,New World Albany,5002842-EA-000,Salted Butter,Mainland,100g,9.79,Butter & Margarine
