primary_key,store_id,store_name,chain,region,product_id,product_name,brand,size,price,category
new_world_newmarket_5045856-KGM-000,51ee2a79-4693-410c-9287-66940847736d,New World Newmarket,New World,Central Auckland,5045856-KGM-000,Brown Onions,,kg,2.79,Fresh Vegetables
new_world_newmarket_5264187-EA-000,51ee2a79-4693-410c-9287-66940847736d,New World Newmarket,New World,Central Auckland,5264187-EA-000,Brown Onions,Pams,1.5kg,4.59,Fresh Vegetables
new_world_newmarket_5223140-KGM-000,51ee2a79-4693-410c-9287-66940847736d,New World Newmarket,New World,Central Auckland,5223140-KGM-000,Peeled Red Onions,,kg,6.99,Fresh Vegetables
new_world_newmarket_5040009-EA-000,51ee2a79-4693-410c-9287-66940847736d,New World Newmarket,New World,Central Auckland,5040009-EA-000,Spring Onions,,ea,2.5,Fresh Vegetables
new_world_newmarket_5009708-EA-000,51ee2a79-4693-410c-9287-66940847736d,New World Newmarket,New World,Central Auckland,5009708-EA-000,Onion Soup Mix Sachet,Maggi,32g,1.59,Fresh Vegetables
new_world_newmarket_5045849-KGM-000,51ee2a79-4693-410c-9287-66940847736d,New World Newmarket,New World,Central Auckland,5045849-KGM-000,White Washed Potatoes,,kg,3.79,Fresh Vegetables
new_world_newmarket_5045841-KGM-000,51ee2a79-4693-410c-9287-66940847736d,New World Newmarket,New World,Central Auckland,5045841-KGM-000,Yellow Agria Potatoes,,kg,4.49,Fresh Vegetables
new_world_newmarket_5264181-EA-000,51ee2a79-4693-410c-9287-66940847736d,New World Newmarket,New World,Central Auckland,5264181-EA-000,Washed Agria Potatoes,Pams,2kg,9.99,Fresh Vegetables
new_world_newmarket_5264173-EA-000,51ee2a79-4693-410c-9287-66940847736d,New World Newmarket,New World,Central Auckland,5264173-EA-000,Washed Roasting & Mashing Potatoes,Pams,2.5kg,10.49,Fresh Vegetables
new_world_newmarket_5264180-EA-000,51ee2a79-4693-410c-9287-66940847736d,New World Newmarket,New World,Central Auckland,5264180-EA-000,Brushed Agria Potatoes,Pams,3kg,11.99,Fresh Vegetables
new_world_newmarket_5046565-KGM-000,51ee2a79-4693-410c-9287-66940847736d,New World Newmarket,New World,Central Auckland,5046565-KGM-000,Loose Garlic,,kg,49.99,Fresh Vegetables
new_world_newmarket_5008899-EA-000,51ee2a79-4693-410c-9287-66940847736d,New World Newmarket,New World,Central Auckland,5008899-EA-000,Crushed Garlic,Pams,230g,2.49,Fresh Vegetables
new_world_newmarket_5046145-EA-000,51ee2a79-4693-410c-9287-66940847736d,New World Newmarket,New World,Central Auckland,5046145-EA-000,Garlic,,7pk,2.99,Fresh Vegetables
new_world_newmarket_5241730-EA-000,51ee2a79-4693-410c-9287-66940847736d,New World Newmarket,New World,Central Auckland,5241730-EA-000,Naturals Eco Garlic Powder,Mrs Rogers,40g,2.49,Fresh Vegetables
new_world_newmarket_5002550-EA-000,51ee2a79-4693-410c-9287-66940847736d,New World Newmarket,New World,Central Auckland,5002550-EA-000,Finely Crushed Garlic Jar,Masterfoods,170g,3.79,Fresh Vegetables
new_world_newmarket_5039965-KGM-000,51ee2a79-4693-410c-9287-66940847736d,New World Newmarket,New World,Central Auckland,5039965-KGM-000,Carrots,,kg,2.29,Fresh Vegetables
new_world_newmarket_5264186-EA-000,51ee2a79-4693-410c-9287-66940847736d,New World Newmarket,New World,Central Auckland,5264186-EA-000,Washed Carrots,Pams,1.5kg,4.69,Fresh Vegetables
new_world_newmarket_5245226-EA-000,51ee2a79-4693-410c-9287-66940847736d,New World Newmarket,New World,Central Auckland,5245226-EA-000,Beta Bites Snacking Carrots,Wilcox,250g,3.99,Fresh Vegetables
new_world_newmarket_5046509-EA-000,51ee2a79-4693-410c-9287-66940847736d,New World Newmarket,New World,Central Auckland,5046509-EA-000,Celery Half,,ea,2.2,Fresh Vegetables
new_world_newmarket_5039953-KGM-000,51ee2a79-4693-410c-9287-66940847736d,New World Newmarket,New World,Central Auckland,5039953-KGM-000,Beetroot,,kg,5.79,Fresh Vegetables
new_world_newmarket_5039956-EA-000,51ee2a79-4693-410c-9287-66940847736d,New World Newmarket,New World,Central Auckland,5039956-EA-000,Broccoli,,ea,1.79,Fresh Vegetables
new_world_newmarket_5040608-EA-000,51ee2a79-4693-410c-9287-66940847736d,New World Newmarket,New World,Central Auckland,5040608-EA-000,Bellaverde Sweet Stem Broccoli,,250g,4.49,Fresh Vegetables
new_world_newmarket_5046507-EA-000,51ee2a79-4693-410c-9287-66940847736d,New World Newmarket,New World,Central Auckland,5046507-EA-000,Cauliflower Half,,ea,3.29,Fresh Vegetables
new_world_newmarket_5039966-EA-000,51ee2a79-4693-410c-9287-66940847736d,New World Newmarket,New World,Central Auckland,5039966-EA-000,Cauliflower,,ea,4.49,Fresh Vegetables
new_world_newmarket_5046517-EA-000,51ee2a79-4693-410c-9287-66940847736d,New World Newmarket,New World,Central Auckland,5046517-EA-000,Green Cabbage Half,,ea,3.49,Fresh Vegetables
new_world_newmarket_5040098-KGM-000,51ee2a79-4693-410c-9287-66940847736d,New World Newmarket,New World,Central Auckland,5040098-KGM-000,Loose Red Tomatoes,,kg,13.99,Fresh Vegetables
new_world_newmarket_5040099-KGM-000,51ee2a79-4693-410c-9287-66940847736d,New World Newmarket,New World,Central Auckland,5040099-KGM-000,Red Truss Tomatoes,,kg,13.99,Fresh Vegetables
new_world_newmarket_5040543-EA-000,51ee2a79-4693-410c-9287-66940847736d,New World Newmarket,New World,Central Auckland,5040543-EA-000,Angel Naturally Sweet Tomatoes,Beekist,200g,6.49,Fresh Vegetables
new_world_newmarket_5259530-EA-000,51ee2a79-4693-410c-9287-66940847736d,New World Newmarket,New World,Central Auckland,5259530-EA-000,Classic Tomatoes.,Sunburst,200g,5.79,Fresh Vegetables
new_world_newmarket_5046412-EA-000,51ee2a79-4693-410c-9287-66940847736d,New World Newmarket,New World,Central Auckland,5046412-EA-000,Vine Tomatoes,Campari,300g,7.99,Fresh Vegetables
new_world_newmarket_5040464-EA-000,51ee2a79-4693-410c-9287-66940847736d,New World Newmarket,New World,Central Auckland,5040464-EA-000,Baby Spinach,Pams,120g,4.29,Fresh Vegetables
new_world_newmarket_5040743-EA-000,51ee2a79-4693-410c-9287-66940847736d,New World Newmarket,New World,Central Auckland,5040743-EA-000,Spinach,Pams,ea,5.49,Fresh Vegetables
new_world_newmarket_5046562-EA-000,51ee2a79-4693-410c-9287-66940847736d,New World Newmarket,New World,Central Auckland,5046562-EA-000,NZ Celery,,ea,3.69,Fresh Vegetables
new_world_newmarket_5046440-EA-000,51ee2a79-4693-410c-9287-66940847736d,New World Newmarket,New World,Central Auckland,5046440-EA-000,Fresh Cut Lettuce,,ea,2.89,Fresh Vegetables
new_world_newmarket_5039990-EA-000,51ee2a79-4693-410c-9287-66940847736d,New World Newmarket,New World,Central Auckland,5039990-EA-000,Bagged Iceberg Lettuce,,ea,3.99,Fresh Vegetables
new_world_newmarket_5303544-EA-000,51ee2a79-4693-410c-9287-66940847736d,New World Newmarket,New World,Central Auckland,5303544-EA-000,Baby Cos Lettuce,Pams,2pk,3.49,Fresh Vegetables
new_world_newmarket_5040462-EA-000,51ee2a79-4693-410c-9287-66940847736d,New World Newmarket,New World,Central Auckland,5040462-EA-000,Baby Leaf Lettuce,Pams,100g,4.29,Fresh Vegetables
new_world_newmarket_5040461-EA-000,51ee2a79-4693-410c-9287-66940847736d,New World Newmarket,New World,Central Auckland,5040461-EA-000,Baby Cos Lettuce,Pams Fresh,120g,4.49,Fresh Vegetables
new_world_newmarket_5028889-EA-000,51ee2a79-4693-410c-9287-66940847736d,New World Newmarket,New World,Central Auckland,5028889-EA-000,Telegraph Cucumber,,ea,3.49,Fresh Vegetables
new_world_newmarket_5046503-EA-000,51ee2a79-4693-410c-9287-66940847736d,New World Newmarket,New World,Central Auckland,5046503-EA-000,Red Capsicum,,ea,3.99,Fresh Vegetables
