primary_key,store_id,store_name,product_id,product_name,brand,size,price,category
pakn_save_5201479-EA-000,92086ded-a55d-4241-a364-7d7ea91531b4,PAK'nSAVE Lincoln Road,5201479-EA-000,Standard Milk,Pams Value,2l,4.88,Milk
pakn_save_5201490-EA-000,92086ded-a55d-4241-a364-7d7ea91531b4,PAK'nSAVE Lincoln Road,5201490-EA-000,Standard Milk,Pams Value,3l,7.25,Milk
pakn_save_5201487-EA-000,92086ded-a55d-4241-a364-7d7ea91531b4,PAK'nSAVE Lincoln Road,5201487-EA-000,Lite Milk,Pams Value,2l,4.88,Milk
pakn_save_5201489-EA-000,92086ded-a55d-4241-a364-7d7ea91531b4,PAK'nSAVE Lincoln Road,5201489-EA-000,Lite Milk,Pams Value,3l,7.25,Milk
pakn_save_5201800-EA-000,92086ded-a55d-4241-a364-7d7ea91531b4,PAK'nSAVE Lincoln Road,5201800-EA-000,Standard Milk,Pams Value,1l,3.19,Milk
pakn_save_5092911-EA-000,92086ded-a55d-4241-a364-7d7ea91531b4,PAK'nSAVE Lincoln Road,5092911-EA-000,White Toast Fresh Sliced Bread,Pams Value,600g,2.05,Sliced & Packaged Bread
pakn_save_5009506-EA-000,92086ded-a55d-4241-a364-7d7ea91531b4,PAK'nSAVE Lincoln Road,5009506-EA-000,Supersoft White Toast Bread,Tip Top,700g,3.97,Sliced & Packaged Bread
pakn_save_5233712-EA-000,92086ded-a55d-4241-a364-7d7ea91531b4,PAK'nSAVE Lincoln Road,5233712-EA-000,Wheatmeal Toast Fresh Sliced Bread,Pams Value,600g,2.05,Sliced & Packaged Bread
pakn_save_5026067-EA-000,92086ded-a55d-4241-a364-7d7ea91531b4,PAK'nSAVE Lincoln Road,5026067-EA-000,White Toast Bread,Nature's Fresh,700g,2.99,Sliced & Packaged Bread
pakn_save_5025751-EA-000,92086ded-a55d-4241-a364-7d7ea91531b4,PAK'nSAVE Lincoln Road,5025751-EA-000,Swiss Soya Linseed Bread,Freya's,750g,4.35,Sliced & Packaged Bread
pakn_save_5281163-EA-000,92086ded-a55d-4241-a364-7d7ea91531b4,PAK'nSAVE Lincoln Road,5281163-EA-000,Pack Colony Caged Eggs Size 7,Rise N Shine,12pk,7.29,Eggs
pakn_save_5290707-EA-000,92086ded-a55d-4241-a364-7d7ea91531b4,PAK'nSAVE Lincoln Road,5290707-EA-000,Free Range Mixed Grade Eggs,New Day,18pk,10.99,Eggs
pakn_save_5269558-EA-000,92086ded-a55d-4241-a364-7d7ea91531b4,PAK'nSAVE Lincoln Road,5269558-EA-000,Free Range Size 6 Eggs,Woodland,18pk,14.89,Eggs
pakn_save_5257064-EA-000,92086ded-a55d-4241-a364-7d7ea91531b4,PAK'nSAVE Lincoln Road,5257064-EA-000,Cage-Free Barn Size 7 Eggs,Farmer Brown,12pk,9.29,Eggs
pakn_save_5314652-EA-000,92086ded-a55d-4241-a364-7d7ea91531b4,PAK'nSAVE Lincoln Road,5314652-EA-000,Fresh Colony Caged Size 6 Eggs,Farmer Brown,18pk,12.29,Eggs
pakn_save_5023660-EA-000,92086ded-a55d-4241-a364-7d7ea91531b4,PAK'nSAVE Lincoln Road,5023660-EA-000,Pure Butter,Pams,500g,8.29,Butter & Margarine
pakn_save_5002650-EA-000,92086ded-a55d-4241-a364-7d7ea91531b4,PAK'nSAVE Lincoln Road,5002650-EA-000,Butter,Anchor,500g,9.99,Butter & Margarine
pakn_save_5013505-EA-000,92086ded-a55d-4241-a364-7d7ea91531b4,PAK'nSAVE Lincoln Road,5013505-EA-000,Salted Buttersoft Spreadable Butter,Mainland,375g,11.79,Butter & Margarine
pakn_save_5002843-EA-000,92086ded-a55d-4241-a364-7d7ea91531b4,PAK'nSAVE Lincoln Road,5002843-EA-000,Unsalted Butter,Mainland,500g,9.79,Butter & Margarine
pakn_save_5002842-EA-000,92086ded-a55d-4241-a364-7d7ea91531b4,PAK'nSAVE Lincoln Road,5002842-EA-000,Salted Butter,Mainland,500g,9.79,Butter & Margarine
pakn_save_5268695-EA-000,92086ded-a55d-4241-a364-7d7ea91531b4,PAK'nSAVE Lincoln Road,5268695-EA-000,Colby Cheese,Pams,1kg,12.65,Cheese
pakn_save_5268694-EA-000,92086ded-a55d-4241-a364-7d7ea91531b4,PAK'nSAVE Lincoln Road,5268694-EA-000,Edam Cheese,Pams,1kg,12.65,Cheese
pakn_save_5334081-EA-000,92086ded-a55d-4241-a364-7d7ea91531b4,PAK'nSAVE Lincoln Road,5334081-EA-000,Cheese,Pams Value,1kg,11.95,Cheese
pakn_save_5315993-EA-000,92086ded-a55d-4241-a364-7d7ea91531b4,PAK'nSAVE Lincoln Road,5315993-EA-000,Colby Cheese,Pams,500g,8.42,Cheese
pakn_save_5268696-EA-000,92086ded-a55d-4241-a364-7d7ea91531b4,PAK'nSAVE Lincoln Road,5268696-EA-000,Tasty Cheddar Cheese,Pams,800g,12.65,Cheese
pakn_save_5018461-EA-000,92086ded-a55d-4241-a364-7d7ea91531b4,PAK'nSAVE Lincoln Road,5018461-EA-000,Vanilla Bean Yoghurt,Fresh 'n Fruity,1kg,4.89,Yoghurt
pakn_save_5010418-EA-000,92086ded-a55d-4241-a364-7d7ea91531b4,PAK'nSAVE Lincoln Road,5010418-EA-000,Simply Strawberry Yoghurt,Fresh 'n Fruity,1kg,4.89,Yoghurt
pakn_save_5009324-EA-000,92086ded-a55d-4241-a364-7d7ea91531b4,PAK'nSAVE Lincoln Road,5009324-EA-000,Berry Favourites Yoghurt,Fresh 'n Fruity,12 x 100g,8.19,Yoghurt
pakn_save_5012132-EA-000,92086ded-a55d-4241-a364-7d7ea91531b4,PAK'nSAVE Lincoln Road,5012132-EA-000,Mixed Berry Yoghurt,Fresh 'n Fruity,1kg,4.89,Yoghurt
pakn_save_5274738-EA-000,92086ded-a55d-4241-a364-7d7ea91531b4,PAK'nSAVE Lincoln Road,5274738-EA-000,Protein+ Vanilla Greek Style Yoghurt,Anchor,950g,8.79,Yoghurt
pakn_save_5040641-EA-000,92086ded-a55d-4241-a364-7d7ea91531b4,PAK'nSAVE Lincoln Road,5040641-EA-000,Fresh Cream,Pams,500ml,4.76,"Cream, Custard & Desserts"
pakn_save_5028852-EA-000,92086ded-a55d-4241-a364-7d7ea91531b4,PAK'nSAVE Lincoln Road,5028852-EA-000,Fresh Cream,Pams,300ml,3.17,"Cream, Custard & Desserts"
pakn_save_5028855-EA-000,92086ded-a55d-4241-a364-7d7ea91531b4,PAK'nSAVE Lincoln Road,5028855-EA-000,Cream,Pams,1l,9.26,"Cream, Custard & Desserts"
pakn_save_5026102-EA-000,92086ded-a55d-4241-a364-7d7ea91531b4,PAK'nSAVE Lincoln Road,5026102-EA-000,Pure Cream,Anchor,500ml,4.95,"Cream, Custard & Desserts"
pakn_save_5000526-EA-000,92086ded-a55d-4241-a364-7d7ea91531b4,PAK'nSAVE Lincoln Road,5000526-EA-000,Pure Cream,Anchor,300ml,3.32,"Cream, Custard & Desserts"
pakn_save_5004743-EA-000,92086ded-a55d-4241-a364-7d7ea91531b4,PAK'nSAVE Lincoln Road,5004743-EA-000,Jasmine Rice,Pams,1kg,3.29,"Pasta, Rice & Noodles"
pakn_save_5005241-EA-000,92086ded-a55d-4241-a364-7d7ea91531b4,PAK'nSAVE Lincoln Road,5005241-EA-000,Basmati Rice,Pams,1kg,3.29,"Pasta, Rice & Noodles"
pakn_save_5337265-EA-000,92086ded-a55d-4241-a364-7d7ea91531b4,PAK'nSAVE Lincoln Road,5337265-EA-000,Long Grain White Rice,Pams,1kg,2.29,"Pasta, Rice & Noodles"
pakn_save_5002644-EA-000,92086ded-a55d-4241-a364-7d7ea91531b4,PAK'nSAVE Lincoln Road,5002644-EA-000,Australian Medium Grain White Rice,SunRice,1kg,3.49,"Pasta, Rice & Noodles"
pakn_save_5002637-EA-000,92086ded-a55d-4241-a364-7d7ea91531b4,PAK'nSAVE Lincoln Road,5002637-EA-000,Highland Basmati Aromatic Long Grain Rice,King's Choice,1kg,3.69,"Pasta, Rice & Noodles"
pakn_save_5319768-EA-000,92086ded-a55d-4241-a364-7d7ea91531b4,PAK'nSAVE Lincoln Road,5319768-EA-000,Fusilli Pasta,Pasta Maria,400g,1.29,"Pasta, Rice & Noodles"
