primary_key,store_id,store_name,chain,region,product_id,product_name,brand,size,price,category
pakn_save_mt_albert_5045856-KGM-000,b2e98a14-c8ca-401e-99ed-edf74570c6f6,PAK'nSAVE Mt Albert,PAK'nSAVE,Central Auckland,5045856-KGM-000,Brown Onions,,kg,2.49,Fresh Vegetables
pakn_save_mt_albert_5264168-EA-000,b2e98a14-c8ca-401e-99ed-edf74570c6f6,PAK'nSAVE Mt Albert,PAK'nSAVE,Central Auckland,5264168-EA-000,Brown Onions,Value,2kg,4.99,Fresh Vegetables
pakn_save_mt_albert_5223140-KGM-000,b2e98a14-c8ca-401e-99ed-edf74570c6f6,PAK'nSAVE Mt Albert,PAK'nSAVE,Central Auckland,5223140-KGM-000,Peeled Red Onions,,kg,3.99,Fresh Vegetables
pakn_save_mt_albert_5040009-EA-000,b2e98a14-c8ca-401e-99ed-edf74570c6f6,PAK'nSAVE Mt Albert,PAK'nSAVE,Central Auckland,5040009-EA-000,Spring Onions,,ea,2.49,Fresh Vegetables
pakn_save_mt_albert_5009708-EA-000,b2e98a14-c8ca-401e-99ed-edf74570c6f6,PAK'nSAVE Mt Albert,PAK'nSAVE,Central Auckland,5009708-EA-000,Onion Soup Mix Sachet,Maggi,32g,1.19,Fresh Vegetables
pakn_save_mt_albert_5045849-KGM-000,b2e98a14-c8ca-401e-99ed-edf74570c6f6,PAK'nSAVE Mt Albert,PAK'nSAVE,Central Auckland,5045849-KGM-000,White Washed Potatoes,,kg,2.99,Fresh Vegetables
pakn_save_mt_albert_5264180-EA-000,b2e98a14-c8ca-401e-99ed-edf74570c6f6,PAK'nSAVE Mt Albert,PAK'nSAVE,Central Auckland,5264180-EA-000,Brushed Agria Potatoes,Pams,3kg,10.99,Fresh Vegetables
pakn_save_mt_albert_5045841-KGM-000,b2e98a14-c8ca-401e-99ed-edf74570c6f6,PAK'nSAVE Mt Albert,PAK'nSAVE,Central Auckland,5045841-KGM-000,Yellow Agria Potatoes,,kg,3.49,Fresh Vegetables
pakn_save_mt_albert_5264178-EA-000,b2e98a14-c8ca-401e-99ed-edf74570c6f6,PAK'nSAVE Mt Albert,PAK'nSAVE,Central Auckland,5264178-EA-000,Washed Gourmet Potatoes,Pams,1kg,4.49,Fresh Vegetables
pakn_save_mt_albert_5088803-EA-000,b2e98a14-c8ca-401e-99ed-edf74570c6f6,PAK'nSAVE Mt Albert,PAK'nSAVE,Central Auckland,5088803-EA-000,Golden Baby Gourmet Potatoes,,1.5kg,6.99,Fresh Vegetables
pakn_save_mt_albert_5046145-EA-000,b2e98a14-c8ca-401e-99ed-edf74570c6f6,PAK'nSAVE Mt Albert,PAK'nSAVE,Central Auckland,5046145-EA-000,Garlic,,7pk,1.99,Fresh Vegetables
pakn_save_mt_albert_5046565-KGM-000,b2e98a14-c8ca-401e-99ed-edf74570c6f6,PAK'nSAVE Mt Albert,PAK'nSAVE,Central Auckland,5046565-KGM-000,Loose Garlic,,kg,44.99,Fresh Vegetables
pakn_save_mt_albert_5241730-EA-000,b2e98a14-c8ca-401e-99ed-edf74570c6f6,PAK'nSAVE Mt Albert,PAK'nSAVE,Central Auckland,5241730-EA-000,Naturals Eco Garlic Powder,Mrs Rogers,40g,1.99,Fresh Vegetables
pakn_save_mt_albert_5046212-EA-000,b2e98a14-c8ca-401e-99ed-edf74570c6f6,PAK'nSAVE Mt Albert,PAK'nSAVE,Central Auckland,5046212-EA-000,Crushed Garlic,Healthy n Fresh,380g,4.99,Fresh Vegetables
