recipe_id,recipe_name,category,area,country,ingredient_names,ingredient_measures,ingredient_count,source_url,youtube_url,thumbnail_url,mealdb_url,fetched_at
mealdb#52893,Apple & Blackberry Crumble,Dessert,British,United Kingdom,Plain Flour|Caster Sugar|Butter|Braeburn Apples|Butter|Demerara Sugar|Blackberries|Cinnamon|Ice Cream,120g|60g|60g|300g|30g|30g|120g|¼ teaspoon|to serve,9,https://www.bbcgoodfood.com/recipes/778642/apple-and-blackberry-crumble,https://www.youtube.com/watch?v=4vhcOwVBDO4,https://www.themealdb.com/images/media/meals/xvsurr1511719182.jpg,https://www.themealdb.com/meal/52893,2026-08-10T01:05:06Z
mealdb#52768,Apple Frangipan Tart,Dessert,British,United Kingdom,"digestive biscuits|butter|Bramley apples|Salted Butter|caster sugar|free-range eggs, beaten|ground almonds|almond extract|flaked almonds",175g/6oz|75g/3oz|200g/7oz|75g/3oz|75g/3oz|2|75g/3oz|1 tsp|50g/1¾oz,9,,https://www.youtube.com/watch?v=rp8Slv4INLk,https://www.themealdb.com/images/media/meals/wxywrq1468235067.jpg,https://www.themealdb.com/meal/52768,2026-08-10T01:05:06Z
mealdb#52959,Baked salmon with fennel & tomatoes,Seafood,British,United Kingdom,Fennel|Parsley|Lemon|Cherry Tomatoes|Olive Oil|Salmon|Black Olives,2 medium|2 tbs chopped|Juice of 1|175g|1 tbs|350g|to serve,7,https://www.bbcgoodfood.com/recipes/7745/baked-salmon-with-fennel-and-tomatoes,https://www.youtube.com/watch?v=xvPR2Tfw5k0,https://www.themealdb.com/images/media/meals/1548772327.jpg,https://www.themealdb.com/meal/52959,2026-08-10T01:05:06Z
mealdb#52767,Bakewell tart,Dessert,British,United Kingdom,"plain flour|chilled butter|cold water|raspberry jam|butter|caster sugar|ground almonds|free-range egg, beaten|almond extract|flaked almonds",175g/6oz|75g/2½oz|2-3 tbsp|1 tbsp|125g/4½oz|125g/4½oz|125g/4½oz|1|½ tsp|50g/1¾oz,10,,https://www.youtube.com/watch?v=1ahpSTf_Pvk,https://www.themealdb.com/images/media/meals/wyrqqq1468233628.jpg,https://www.themealdb.com/meal/52767,2026-08-10T01:05:06Z
mealdb#52894,Battenberg Cake,Dessert,British,United Kingdom,Butter|Caster Sugar|Self-raising Flour|Almonds|Baking Powder|Eggs|Vanilla Extract|Almond Extract|Butter|Caster Sugar|Self-raising Flour|Almonds|Baking Powder|Eggs|Vanilla Extract|Almond Extract|Pink Food Colouring|Apricot|Marzipan|Icing Sugar,175g|175g|140g|50g|½ tsp|3 Medium|½ tsp|¼ teaspoon|175g|175g|140g|50g|½ tsp|3 Medium|½ tsp|¼ teaspoon|½ tsp|200g|1kg|Dusting,20,https://www.bbcgoodfood.com/recipes/1120657/battenberg-cake,https://www.youtube.com/watch?v=aB41Q7kDZQ0,https://www.themealdb.com/images/media/meals/ywwrsp1511720277.jpg,https://www.themealdb.com/meal/52894,2026-08-10T01:05:06Z
mealdb#52848,Bean & Sausage Hotpot,Miscellaneous,British,United Kingdom,Sausages|Tomato Sauce|Butter Beans|Black Treacle|English Mustard,8 large|1 Jar|1200g|1 tbls|1 tsp,5,https://www.bbcgoodfood.com/recipes/339607/bean-and-sausage-hotpot,https://www.youtube.com/watch?v=B0YX0yPX4Wo,https://www.themealdb.com/images/media/meals/vxuyrx1511302687.jpg,https://www.themealdb.com/meal/52848,2026-08-10T01:05:06Z
mealdb#52874,Beef and Mustard Pie,Beef,British,United Kingdom,Beef|Plain Flour|Rapeseed Oil|Red Wine|Beef Stock|Onion|Carrots|Thyme|Mustard|Egg Yolks|Puff Pastry|Green Beans|Butter|Salt|Pepper,1kg|2 tbs|2 tbs|200ml|400ml|1 finely sliced|2 chopped|3 sprigs|2 tbs|2 free-range|400g|300g|25g|pinch|pinch,15,https://www.bbc.co.uk/food/recipes/beef_and_mustard_pie_58002,https://www.youtube.com/watch?v=nMyBC9staMU,https://www.themealdb.com/images/media/meals/sytuqu1511553755.jpg,https://www.themealdb.com/meal/52874,2026-08-10T01:05:06Z
mealdb#52878,Beef and Oyster pie,Beef,British,United Kingdom,Beef|Olive Oil|Shallots|Garlic|Bacon|Thyme|Bay Leaf|Stout|Beef Stock|Corn Flour|Oysters|Plain Flour|Salt|Butter|Eggs,900g|3 tbs|3|2 cloves minced|125g|1 tbs chopped|2|330ml|400ml|2 tbs|8|400g|pinch|250g|To Glaze,15,https://www.bbc.co.uk/food/recipes/beef_and_oyster_pie_65230,https://www.youtube.com/watch?v=ONX74yP6JnI,https://www.themealdb.com/images/media/meals/wrssvt1511556563.jpg,https://www.themealdb.com/meal/52878,2026-08-10T01:05:06Z
mealdb#52873,Beef Dumpling Stew,Beef,British,United Kingdom,Olive Oil|Butter|Beef|Plain Flour|Garlic|Onions|Celery|Carrots|Leek|Swede|Red Wine|Beef Stock|Bay Leaf|Thyme|Parsley|Plain Flour|Baking Powder|Suet|Water,2 tbs|25g|750g|2 tblsp|2 cloves minced|175g|150g|150g|2 chopped|200g|150ml|500g|2|3 tbs|3 tblsp chopped|125g|1 tsp|60g|Splash,19,https://www.bbc.co.uk/food/recipes/beefstewwithdumpling_87333,https://www.youtube.com/watch?v=6NgheY-r5t0,https://www.themealdb.com/images/media/meals/uyqrrv1511553350.jpg,https://www.themealdb.com/meal/52873,2026-08-10T01:05:06Z
mealdb#52824,Beef Sunday Roast,Beef,British,United Kingdom,Beef|Broccoli|Potatoes|Carrots|plain flour|Eggs|milk|sunflower oil,8 slices|12 florets|1 Packet|1 Packet|140g|4|200ml|drizzle (for cooking),8,https://www.bbcgoodfood.com/recipes/9020/best-yorkshire-puddings,https://www.youtube.com/watch?v=2l3-dBdNehY,https://www.themealdb.com/images/media/meals/ssrrrs1503664277.jpg,https://www.themealdb.com/meal/52824,2026-08-10T01:05:06Z
